FoodID	Country, region	Food name in English	Processing	Species/Subspecies	Cultivar/Variety/Accession Name	BiblioID	ENERC(kJ)	ENERC(kcal)	WATER(g)	DM(g)	NT(g)	PROTCNT(g)	CHOAVLDF(g)	FIBTG(g)	FATCE(g)	CHOLE(mg)	FACID(g)	FASAT(g)	FAMS(g)	FAPU(g)	ASH(g)	CA(mg)	CU(mg)	FE(mg)	K(mg)	MG(mg)	MN(mg)	NA(mg)	P(mg)	ZN(mg)	THIA(mg)	RIBF(mg)	NIA(mg)	NIAEQ(mg)	VITB6C(mg)	VITB12(mcg)	VITC(mg)	FOL(mcg)	VITA(mcg)	VITA_RAE(mcg)	RETOL(mcg)	CARTBEQ(mcg)	CARTA(mcg)	CARTB(mcg)	CRYPXB(mcg)	TOCPHA(mg)	ALA(mg)	ARG(mg)	ASP(mg)	CYS(mg)	GLU(mg)	GLY(mg)	HIS(mg)	ILE(mg)	LEU(mg)	LYS(mg)	MET(mg)	PHE(mg)	PRO(mg)	SER(mg)	THR(mg)	TRP(mg)	TYR(mg)	VAL(mg)	IP3(mg)	IP4(mg)	IP5(mg)	IP6(mg)
VIA001_DM		Adzuki bean, mature, whole, dried, raw	d/r	Vigna angularis (Willd) Ohwi & H. Ohashi		VIA001: pu075, pu255, McW/2015 (13-041), USDA/SR28 (16001)	1510	357	0	100	3.68	23.0	57.6	14.7	0.6	0	0.48	0.18	0.02	0.28	4.1	84	1.23	5.2	1390	144	1.93	6	427	5.64	0.53	0.25	2.9	6.6	0.41	0	tr	720	2	1	0	14	0	14	0		1340	1490	2720	213	3590	875	606	915	1930	1730	243	1220	1010	1130	780	221	684	1180				
VIA002_DM		Adzuki bean, mature, whole, water-soaked, boiled in different water, without salt, drained	p	Vigna angularis 		VIA002: calculated from VIA001	1510	357	0	100	3.68	23.0	57.6	14.7	0.6	0	0.48	0.18	0.02	0.28	4.1	72	0.86	4.4	1040	123	1.93	4	385	5.07	0.34	0.19	1.9	5.6	0.28	0	tr	360	2	1	0	14	0	14	0	0	1340	1490	2720	213	3590	875	606	915	1930	1730	243	1220	1010	1130	780	221	684	1180				
VIA003_DM		Adzuki bean, mature, whole, water-soaked, boiled in different water, without salt (water not discarded)	p	Vigna angularis 		VIA003: calculated from VIA001	1510	357	0	100	3.68	23.0	57.6	14.7	0.6	0	0.48	0.18	0	0.28	4.1	84	1.23	5	1250	144	1.93	5	427	5.64	0	0.25	2.2	5.9	0.28	0	tr	400	2	1	0	14	0	14	0	0	1340	1490	2720	213	3590	875	606	915	1930	1730	243	1220	1010	1130	780	221	684	1180				
VSU001_DM		Bambara groundnuts, dried, raw	d/r	Vigna subterranea (L) Verdc.		VSU001: 2E, pu094	1490	357	0	100	3.24	20.3	37.1	31.8	7.1	0	5	1.8	1.33	2.40	3.8	44	0.76	3.0	1460	189	1.26	3	246	2.14	0.05	0.08	2.5	4.6		0	nd		nd	nd	0	nd				nd	941	1400	2340	159	3570	607	433	956	1660	1340	439	1040	913	1250	917	126	494	919				276
VSU002_DM		Bambara groundnuts, water-soaked, boiled in different water, without salt, drained	p	Vigna subterranea (L) Verdc.		VSU002: calculated from VSU001	1490	357	0	100	3.2	20.3	37.1	31.8	7.1	0	5.49	1.8	1.33	2.40	3.8	37	0.53	2.6	1100	160	1.26	2	221	1.92	0.03	0.06	1.6	3.7		0			nd	nd	0	nd				nd	941	1400	2340	159	3570	607	433	956	1660	1340	439	1040	913	1250	917	126	494	919				185
VSU003_DM		Bambara groundnuts, water-soaked, boiled in different water, without salt (water not discarded)	p	Vigna subterranea (L) Verdc.		VSU003: calculated from VSU001	1490	357	0	100	3.24	20.3	37.1	31.8	7.1	0	5.49	1.76	1.33	2.40	3.8	44	0.76	3.0	1320	189	1.26	2	246	2.14	0.04	0.08	1.9	4.0		0			nd	nd	0	nd				nd	941	1400	2340	159	3570	607	433	956	1660	1340	439	1040	913	1250	917	126	494	919				204
PHV002_DM		Black turtle bean, mature, whole, dried, raw	d/r	Phaseolus vulgaris L	Black turtle	PHV002: pu007, pu008, pu009, pu067, pu106, pu116, pu224, pu225, pu255, pu262, pu265, pu270, pu271, USDA/SR28 (16014)	1450	345	0	100	4.02	25.1	44.8	23.8	2.0	0	1.55	0.36	0.17	1.0	4.3	118	1	7.5	2070	203	1.21	6	532	3.18	0.57	0.22	3.7	8.4	0.69	0	tr	500	0	0	0	0	0	0	0	0.30	1170	1530	3020	125	4060	1080	708	913	1770	1560	222	1210	1110	1460	1060	281	766	1150	nd	6.5	108	937
PHV013_DM		Black turtle bean, mature, whole, water-soaked, boiled in different water, without salt, drained	p	Phaseolus vulgaris L	Black turtle	PHV013: calculated from PHV002	1450	345	0	100	4.02	25.1	44.8	24	2.0	0	1.55	0.36	0.17	1.01	4.3	100	0.8	6.3	1550	173	1.21	4	479	2.86	0.37	0.16	2.4	7.1	0.49	0	tr	250	0	0	0	0	0	0	0	0.3	1170	1530	3020	125	4060	1080	708	913	1770	1560	222	1210	1110	1460	1060	281	766	1150				628
PHV014_DM		Black turtle bean, seeds, mature, whole, water-soaked, drained, boiled without salt (cooking water not discarded)	p	Phaseolus vulgaris L	Black turtle	PHV014: calculated from PHV002	1450	345	0	100	4.02	25.1	44.8	23.8	2.0	0	1.55	0.36	0.17	1.01	4.3	118	1.13	7.5	1860	203	1.21	5	532	3.18	0.43	0.22	2.8	7.5	0.5	0	tr	270	0	0	0	0	0	0	0	0.30	1170	1530	3020	125	4060	1080	708	913	1770	1560	222	1210	1110	1460	1060	281	766	1150				694
PHV009_DM	Canada	Black turtle bean, mature, whole, dried, raw (Canada)	d/r	Phaseolus vulgaris L	Black turtle	PHV009: pu008, pu009, pu225	1430	341	0	100	3.95	24.7	43.4	24.8	2.1	0	1.65	0.50	0.15	1.00	5.0	129	1.21	8	2300	251	1.55	6	564	3.6	0.6	0.22	3.7	8.3	0.7	0	tr	500	0	0	0	0	0	0	0	0.32	1080	1440	3110	123	4210	1050	687	1030	2020	1490	338	1400	1600	1560	1110	274	679	1270	nd	6.50	108	937
PHV027_DM	Canada	Black turtle bean, mature, whole, water-soaked, boiled in different water, without salt, drained (Canada)	p	Phaseolus vulgaris L	Black turtle	PHV027: calculated from PHV009	1430	341	0	100	3.95	24.7	43.4	24.8	2.1	0	1.65	0.50	0.15	1.00	5.0	109	0.85	6.9	1720	213	1.55	4	507	3.20	0.37	0.16	2.4	7.0	0.49	0	tr	250	0	0	0	0	0	0	0	0.28	1080	1440	3110	123	4210	1050	687	1030	2020	1490	338	1400	1600	1560	1110	274	679	1270				628
PHV028_DM	Canada	Black turtle bean, mature, whole, water-soaked, boiled in different water, without salt (cooking water not discarded) (Canada)	p	Phaseolus vulgaris L	Black turtle	PHV028: calculated from PHV009	1430	341	0	100	3.95	24.7	43.4	25	2.1	0	1.65	0.5	0.15	1.0	5	129	1.21	8.1	2070	251	1.55	5	564	3.56	0.43	0.22	2.8	7.3	0.5	0	tr	270	0	0	0	0	0	0	0	0.32	1080	1440	3110	123	4210	1050	687	1030	2020	1490	338	1400	1600	1560	1110	274	679	1270				694
VIF001_DM		Broad bean, mature, whole, dried, raw	d/r	Vicia faba L		VIF001: McW/2015 (13-067), phy1, phy17, pu002, pu003, pu007, pu057, pu143, pu150, pu161, pu162, pu186, pu192, pu194, pu220, pu225, pu228, pu255, pu258, pu259, pu260, pu261, pu277, USDA/SR28 (16052)	1460	346	0	100	4.55	28.4	43.0	23.3	1.5	0	1.19	0.23	0.32	0.60	3.7	107	0.92	5.8	1340	152	1.66	28	483	3.98	0.63	0.26	2.7	7	0.35	0	1.6	280	5	3	0	32	0	32	0	0.05	1130	2670	3050	340	4760	1180	732	1140	2040	1760	187	1200	1130	1330	976	244	900	1260	19.0	41.8	168	483
VIF003_DM		Broad bean, mature, whole, soaked, boiled in different water, without salt, drained	p	Vicia faba L		VIF003: calculated from VIF001	1460	346	0	100	4.55	28.4	43.0	23.3	1.5	0	1.19	0.23	0.3	0.60	3.7	91	0.65	4.9	1000	129	1.66	21	435	3.58	0.41	0.19	1.8	5.8	0.25	0	0.9	140	5	3	0	32	0	32	0	0.05	1130	2670	3050	340	4760	1180	732	1140	2040	1760	187	1200	1130	1330	976	244	900	1260				323
VIF004_DM		Broad bean, mature, whole, water-soaked, boiled in different water, without salt (water not discarded)	p	Vicia faba L		VIF004: calculated from VIF001	1460	346	0	100	4.55	28.4	43.0	23.3	1.5	0	1.19	0.23	0.32	0.60	3.7	107	0.92	5.8	1200	152	1.66	25	483	3.98	0.47	0.26	2.0	6.1	0.25	0	0.9	160	5	3	0	32	0	32	0	0.05	1130	2670	3050	340	4760	1180	732	1140	2040	1760	187	1200	1130	1330	976	244	900	1260				357
VIF002_DM	Australia	Broad bean, mature, whole, dried, raw (Australia)	d/r	Vicia faba L		VIF002: pu057	1510	358	0	100	4.35	27.2	46.5	20.8	2.3	0	1.82	0.35	0.43	1.04	3.1	121	0.92	4.1	1470	157	1.66	23	405	2.7	0.8	0.1	2.0	5.9	0.2	0	1.6	280	8	4	0	49	0	49	0	0.08	1080	2560	2910	325	4550	1120	700	1090	1950	1680	178	1140	1080	1270	933	233	861	1200	19	37.2	159	448
VIF005_DM	Australia	Broad bean, mature, whole, water-soaked, boiled in different water, without salt, drained (Australia)	p	Vicia faba L		VIF005: calculated from VIF002	1510	358	0	100	4.35	27.2	46.5	20.8	2.3	0	1.82	0.35	0.43	1.04	3	103	0.65	3.5	1100	133	1.66	18	364	2.42	0.51	0.08	1.3	5.2	0.16	0	0.9	140	8	4	0	49	0	49	0	0.07	1080	2560	2910	325	4550	1120	700	1090	1950	1680	178	1140	1080	1270	933	233	861	1200				300
VIF006_DM	Australia	Broad bean, mature, whole, water-soaked, boiled in different water, without salt (water not discarded) (Australia)	p	Vicia faba L		VIF006: calculated from VIF002	1510	358	0	100	4.35	27.2	47	21	2.3	0	1.82	0.35	0.43	1.0	3.1	121	0.92	4.1	1320	157	1.66	21	405	2.68	0.59	0.11	1.5	5	0.16	0	0.9	160	8	4	0	49	0	49	0	0.08	1080	2560	2910	325	4550	1120	700	1090	1950	1680	178	1140	1080	1270	933	233	861	1200				331
CIA001_DM		Chickpea, mature, whole, dried, raw	d/r	Cicer arietinum L		CIA001: pu057, pu059, pu061, pu062, pu072, pu007, pu008, pu009, pu228, pu237, pu238, pu239, pu241, pu242, pu243, pu244, pu245, pu246, pu247, pu249, pu250, pu255, pu257, pu261, pu262, pu192, pu111, pu140, pu141, pu142, pu143, pu144, pu145, pu148, pu150, pu151, pu152, pu153, pu154, pu155, pu156, pu224, phy1, phy5, phy6, pu093, pu059, pu159, pu161, pu163, McW/2015 (13-076,13-074), USDA/SR28 (16056)	1560	370	0	100	3.58	22.4	46	22.8	5.7	0	4.39	0.67	1.33	2.40	3.1	133	0.49	7.2	900	144	3.26	13	290	3.42	0.50	0.14	1.7	6	0.61	0	9	440	10	5	0	60	0	57	6	1.7	973	2150	2500	288	4020	867	652	934	1650	1500	286	1300	1040	1190	825	230	686	934	23.3	20.2	94.8	590
CIA007_DM		Chickpea, mature, whole, water-soaked, boiled in different water, without salt, drained	p	Cicer arietinum		CIA007: calculated from CIA001	1560	370	0	100	3.58	22.4	46.1	22.8	5.7	0	4.39	0.67	1.33	2.40	3.1	113	0.34	6.1	675	123	3.26	10	261	3.08	0.32	0.10	1.1	5	0.43	0	5.3	220	10	5	0	60	0	57	6	1.57	973	2150	2500	288	4020	867	652	934	1650	1500	286	1300	1040	1190	825	230	686	934				395
CIA008_DM		Chickpea, mature, whole, water-soaked, boiled in different water, without salt (cooking water not discarded)	p	Cicer arietinum		CIA008: calculated from CIA001	1560	370	0	100	3.58	22.4	46.1	22.8	5.7	0	4.39	0.67	1.33	2.40	3.1	133	0.49	7.2	810	144	3.26	12	290	3.42	0.37	0.14	1.3	5.1	0.43	0	5.3	240	10	5	0	60	0	57	6	1.75	973	2150	2500	288	4020	867	652	934	1650	1500	286	1300	1040	1190	825	230	686	934				437
