NDB No	Nutr_No	Nutr_Val	Num_Data_Pts	CC
1069	421	2.3	3	B
1077	421	14	1	B
1079	421	16	2	B
1082	421	18	1	B
1085	421	16	1	B
1103	421	17	1	B
1117	421	15	2	B
1121	421	14	2	B
1123	421	250	15	A
1124	421	1.1	4	A
1125	421	680	4	A
1128	421	270	4	A
1129	421	230	4	A
1199	421	15	1	B
2003	421	55	1	B
2009	421	67	1	B
2010	421	11	1	B
2011	421	37	1	B
2015	421	64	1	B
2020	421	68	1	B
2021	421	41	1	B
2024	421	120	1	B
2026	421	39	1	B
2027	421	32	1	B
2028	421	52	1	B
2029	421	97	1	B
2030	421	11	2	B
2033	421	8.8	1	B
2043	421	49	1	B
2044	421	11	1	B
2046	421	22	1	B
3003	421	38	11	A
3006	421	50	1	B
3011	421	55	7	A
3013	421	43	11	A
3016	421	40	3	A
3054	421	17	3	A
3091	421	23	2	B
3104	421	7.6	2	B
3121	421	32	1	B
3130	421	8.5	2	B
3189	421	32	1	B
3298	421	31	14	A
4025	421	22	2	B
4027	421	15	1	B
4044	421	0.2	1	B
4053	421	0.3	1	B
4114	421	2.6	1	B
4582	421	0.2	1	B
4585	421	6.5	1	B
4613	421	10	1	C
4629	421	14	1	C
4636	421	4	1	B
4638	421	3.9	1	B
5006	421	60	1	B
5009	421	66	1	B
5011	421	66	1	B
5013	421	79	1	B
5027	421	190	4	A
5028	421	290	4	A
5173	421	90	1	B
5174	421	82	1	B
5175	421	130	1	B
5176	421	170	1	B
5177	421	220	1	B
5178	421	220	1	B
5312	421	70	1	B
5313	421	74	2	B
5320	421	77	1	B
5661	421	330	4	A
6019	421	11	2	B
6030	421	6.9	1	B
6159	421	13	1	B
6164	421	12	1	B
6931	421	14	2	B
7007	421	46	2	B
7022	421	34	2	B
7024	421	51	4	B
7063	421	53	4	A
7064	421	67	5	B
7075	421	51	1	B
7945	421	39	2	B
7949	421	43	2	B
7950	421	44	3	A
7952	421	53	2	B
7953	421	52	3	A
7954	421	43	1	B
7955	421	51	1	B
7956	421	51	1	B
7957	421	39	1	B
7958	421	63	1	B
7959	421	59	3	A
7960	421	68	1	B
8001	421	49	1	B
8012	421	15	1	B
8013	421	26	1	B
8014	421	8.7	1	B
8020	421	3.9	1	B
8030	421	11	1	B
8061	421	29	1	B
8065	421	6	2	B
8067	421	31	2	B
8074	421	15	1	C
8077	421	19	1	B
8084	421	180	2	B
8089	421	33	1	C
8092	421	14	1	B
8093	421	2.6	1	B
