NDB_No,FDGrp_Cd,Long_Desc
1001,100,"Butter, salted"
1002,100,"Butter, whipped, with salt"
1003,100,"Butter oil, anhydrous"
1004,100,"Cheese, blue"
1005,100,"Cheese, brick"
1006,100,"Cheese, brie"
1007,100,"Cheese, camembert"
1009,100,"Cheese, cheddar"
1011,100,"Cheese, colby"
1012,100,"Cheese, cottage, creamed, large or small curd"
1013,100,"Cheese, cottage, creamed, with fruit"
1014,100,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd"
1015,100,"Cheese, cottage, lowfat, 2% milkfat"
1016,100,"Cheese, cottage, lowfat, 1% milkfat"
1017,100,"Cheese, cream"
1018,100,"Cheese, edam"
1019,100,"Cheese, feta"
1020,100,"Cheese, fontina"
1022,100,"Cheese, gouda"
1023,100,"Cheese, gruyere"
1024,100,"Cheese, limburger"
1025,100,"Cheese, monterey"
1026,100,"Cheese, mozzarella, whole milk"
1027,100,"Cheese, mozzarella, whole milk, low moisture"
1028,100,"Cheese, mozzarella, part skim milk"
1029,100,"Cheese, mozzarella, part skim milk, low moisture"
1030,100,"Cheese, muenster"
1032,100,"Cheese, parmesan, grated"
1033,100,"Cheese, parmesan, hard"
1034,100,"Cheese, port de salut"
1035,100,"Cheese, provolone"
1036,100,"Cheese, ricotta, whole milk"
1037,100,"Cheese, ricotta, part skim milk"
1038,100,"Cheese, romano"
1040,100,"Cheese, swiss"
1042,100,"Cheese, pasteurized process, american, with di sodium phosphate"
1043,100,"Cheese, pasteurized process, pimento"
1044,100,"Cheese, pasteurized process, swiss, with di sodium phosphate"
1046,100,"Cheese food, pasteurized process, american, without di sodium phosphate"
1048,100,"Cheese spread, pasteurized process, american, without di sodium phosphate"
1049,100,"Cream, fluid, half and half"
1050,100,"Cream, fluid, light (coffee cream or table cream)"
1052,100,"Cream, fluid, light whipping"
1053,100,"Cream, fluid, heavy whipping"
1054,100,"Cream, whipped, cream topping, pressurized"
1055,100,"Cream, sour, reduced fat, cultured"
1056,100,"Cream, sour, cultured"
1057,100,Eggnog
1058,100,"Sour dressing, non-butterfat, cultured, filled cream-type"
1060,100,"Milk, filled, fluid, with lauric acid oil"
1067,100,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein"
1069,100,"Cream substitute, powdered"
1071,100,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk"
1072,100,"Dessert topping, pressurized"
1073,100,"Dessert topping, semi solid, frozen"
1074,100,"Sour cream, imitation, cultured"
1077,100,"Milk, whole, 3.25% milkfat, with added vitamin D"
1079,100,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
1082,100,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
1085,100,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
1086,100,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)"
1088,100,"Milk, buttermilk, fluid, cultured, lowfat"
1089,100,"Milk, low sodium, fluid"
1090,100,"Milk, dry, whole, with added vitamin D"
1091,100,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D"
1092,100,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D"
1094,100,"Milk, buttermilk, dried"
1095,100,"Milk, canned, condensed, sweetened"
1096,100,"Milk, canned, evaporated, with added vitamin D and without added vitamin A"
1097,100,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D"
1102,100,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D"
1103,100,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D"
1104,100,"Milk, chocolate, fluid, commercial, lowfat, with added vitamin A and vitamin D"
1106,100,"Milk, goat, fluid, with added vitamin D"
1107,100,"Milk, human, mature, fluid"
1113,100,"Whey, acid, dried"
1115,100,"Whey, sweet, dried"
1116,100,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce"
1117,100,"Yogurt, plain, low fat, 12 grams protein per 8 ounce"
1118,100,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce"
1119,100,"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce"
1120,100,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce"
1121,100,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce"
1123,100,"Egg, whole, raw, fresh"
1124,100,"Egg, white, raw, fresh"
1125,100,"Egg, yolk, raw, fresh"
1126,100,"Egg, yolk, raw, frozen"
1128,100,"Egg, whole, cooked, fried"
1129,100,"Egg, whole, cooked, hard-boiled"
1130,100,"Egg, whole, cooked, omelet"
1131,100,"Egg, whole, cooked, poached"
1132,100,"Egg, whole, cooked, scrambled"
1133,100,"Egg, whole, dried"
1136,100,"Egg, white, dried, powder, glucose reduced"
1137,100,"Egg, yolk, dried"
1138,100,"Egg, duck, whole, fresh, raw"
1139,100,"Egg, goose, whole, fresh, raw"
1140,100,"Egg, quail, whole, fresh, raw"
1144,100,"Egg substitute, powder"
1145,100,"Butter, without salt"
1151,100,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)"
1154,100,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D"
1155,100,"Milk, dry, nonfat, instant, without added vitamin A and vitamin D"
1156,100,"Cheese, goat, hard type"
1157,100,"Cheese, goat, semisoft type"
1159,100,"Cheese, goat, soft type"
1161,100,"Cheese substitute, mozzarella"
1164,100,"Cheese sauce, prepared from recipe"
1165,100,"Cheese, mexican, queso anejo"
1166,100,"Cheese, mexican, queso asadero"
1167,100,"Cheese, mexican, queso chihuahua"
1168,100,"Cheese, low fat, cheddar or colby"
1169,100,"Cheese, low-sodium, cheddar or colby"
1174,100,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D"
1175,100,"Milk, fluid, 1% fat, without added vitamin A and vitamin D"
1178,100,"Sour cream, reduced fat"
1179,100,"Sour cream, light"
1180,100,"Sour cream, fat free"
1182,100,"USDA Commodity, cheese, cheddar, reduced fat"
1184,100,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener"
1185,100,"Parmesan cheese topping, fat free"
1186,100,"Cheese, cream, fat free"
1187,100,"Yogurt, chocolate, nonfat milk"
1199,100,"Cream, half and half, fat free"
1200,100,Reddi Wip Fat Free Whipped Topping
1203,100,"Yogurt, fruit, lowfat, with low calorie sweetener"
1204,100,"Cheese, parmesan, dry grated, reduced fat"
1205,100,"Cream substitute, flavored, liquid"
1206,100,"Cream substitute, flavored, powdered"
1208,100,"Cheese, provolone, reduced fat"
1209,100,"Cheese, Mexican, blend, reduced fat"
1211,100,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D"
1212,100,"Milk, dry, whole, without added vitamin D"
1214,100,"Milk, canned, evaporated, without added vitamin A and vitamin D"
1215,100,"Cheese product, pasteurized process, american, reduced fat, fortified with vitamin D"
1216,100,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D"
1217,100,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D"
1218,100,"Yogurt, fruit variety, nonfat, fortified with vitamin D"
1219,100,"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D"
1220,100,"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce, fortified with vitamin D"
1221,100,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D"
1222,100,"Yogurt, chocolate, nonfat milk, fortified with vitamin D"
1223,100,"Protein supplement, milk based, Muscle Milk, powder"
1224,100,"Protein supplement, milk based, Muscle Milk Light, powder"
1226,100,"Egg substitute, liquid or frozen, fat free"
2003,200,"Spices, basil, dried"
2005,200,"Spices, caraway seed"
2007,200,"Spices, celery seed"
2009,200,"Spices, chili powder"
2010,200,"Spices, cinnamon, ground"
2011,200,"Spices, cloves, ground"
2012,200,"Spices, coriander leaf, dried"
2014,200,"Spices, cumin seed"
2015,200,"Spices, curry powder"
2020,200,"Spices, garlic powder"
2021,200,"Spices, ginger, ground"
2023,200,"Spices, marjoram, dried"
2024,200,"Spices, mustard seed, ground"
2025,200,"Spices, nutmeg, ground"
2026,200,"Spices, onion powder"
2027,200,"Spices, oregano, dried"
2028,200,"Spices, paprika"
2029,200,"Spices, parsley, dried"
2030,200,"Spices, pepper, black"
2031,200,"Spices, pepper, red or cayenne"
2033,200,"Spices, poppy seed"
2034,200,"Spices, poultry seasoning"
2035,200,"Spices, pumpkin pie spice"
2038,200,"Spices, sage, ground"
2042,200,"Spices, thyme, dried"
2043,200,"Spices, turmeric, ground"
2044,200,"Basil, fresh"
2046,200,"Mustard, prepared, yellow"
2047,200,"Salt, table"
2048,200,"Vinegar, cider"
2052,200,"Vanilla extract, imitation, no alcohol"
2053,200,"Vinegar, distilled"
2054,200,"Capers, canned"
2055,200,"Horseradish, prepared"
3001,300,"Babyfood, juice treats, fruit medley, toddler"
