NDB_No,Nutr_No,DataSrc_ID,FoodNo,Food_Detail_Desc,Nutr_Val,Std_Dev,Num_Data_Pts,Sam Hand_Rtg,AnalMeth_Rtg,SampPlan_Rtg,AnalQC_Rtg,NumSamp_QC,CC
16108,710,2,1,"Soybeans, yellow (Glycine soja), purchased in a local market, Rome, Italy",51.36228,,1,14,12.75,2,0,6,C
16108,711,2,1,"Soybeans, yellow (Glycine soja), purchased in a local market, Rome, Italy",109.8625,,1,14,12.75,2,0,6,C
16108,712,2,1,"Soybeans, yellow (Glycine soja), purchased in a local market, Rome, Italy",0,,1,14,12.75,2,0,6,C
16108,713,2,1,"Soybeans, yellow (Glycine soja), purchased in a local market, Rome, Italy",161.22478,,1,14,12.75,2,0,6,C
16108,710,4,1,"Soybean, Glycine max. Merrill, dwarfed variety, grown at BHNRC, MD",61.22,,4,14,9,2,0,8,C
16108,711,4,1,"Soybean, Glycine max. Merrill, dwarfed variety, grown at BHNRC, MD",159.29,,4,14,9,2,0,8,C
16108,712,4,1,"Soybean, Glycine max. Merrill, dwarfed variety, grown at BHNRC, MD",6.82,,4,14,9,2,0,8,C
16108,713,4,1,"Soybean, Glycine max. Merrill, dwarfed variety, grown at BHNRC, MD",227.32,,4,14,9,2,0,8,C
16108,710,5,1,"Soy Beans, Early maturity, 1990/1991, Brazil, Ave of 12 cultivars",18.812,,12,14,3.5,2,0,20,C
16108,711,5,1,"Soy Beans, Early maturity, 1990/1991, Brazil, Ave of 12 cultivars",92.31,,12,14,3.5,2,0,20,C
16108,713,5,1,"Soy Beans, Early maturity, 1990/1991, Brazil, Ave of 12 cultivars",111.122,,12,14,3.5,2,0,20,C
16108,710,5,2,"Soy Beans, Early maturity, 1991/1992, Brazil, Ave of 12 cultivars",23.281,,12,14,3.5,2,0,20,C
16108,711,5,2,"Soy Beans, Early maturity, 1991/1992, Brazil, Ave of 12 cultivars",39.269,,12,14,3.5,2,0,20,C
16108,713,5,2,"Soy Beans, Early maturity, 1991/1992, Brazil, Ave of 12 cultivars",62.55,,12,14,3.5,2,0,20,C
16108,710,5,3,"Soy Beans, Intermediate maturing, 1990/1991, Brazil",9.891,,1,14,3.5,2,0,1,D
16108,711,5,3,"Soy Beans, Intermediate maturing, 1990/1991, Brazil",83.5,,1,14,3.5,2,0,1,D
16108,713,5,3,"Soy Beans, Intermediate maturing, 1990/1991, Brazil",93.391,,1,14,3.5,2,0,1,D
16108,710,5,4,"Soy Beans, Intermediate maturing, 1991/1992, Brazil",14.257,,1,14,3.5,2,0,1,D
16108,711,5,4,"Soy Beans, Intermediate maturing, 1991/1992, Brazil",28.281,,1,14,3.5,2,0,1,D
16108,713,5,4,"Soy Beans, Intermediate maturing, 1991/1992, Brazil",42.538,,1,14,3.5,2,0,1,D
16108,710,5,5,"Soy Beans, Late maturing, 1990/1991, Brazil, Ave 9 cultivars",30.48,,9,14,3.5,2,0,16,C
16108,711,5,5,"Soy Beans, Late maturing, 1990/1991, Brazil, Ave 9 cultivars",110.981,,9,14,3.5,2,0,16,C
16108,713,5,5,"Soy Beans, Late maturing, 1990/1991, Brazil, Ave 9 cultivars",141.461,,9,14,3.5,2,0,16,C
16108,710,5,6,"Soy Beans, Late maturing, 1991/1992, Brazil, Ave of 9 cultivars",24.234,,9,14,3.5,2,0,16,C
16108,711,5,6,"Soy Beans, Late maturing, 1991/1992, Brazil, Ave of 9 cultivars",50.481,,9,14,3.5,2,0,16,C
16108,713,5,6,"Soy Beans, Late maturing, 1991/1992, Brazil, Ave of 9 cultivars",74.715,,9,14,3.5,2,0,16,C
16108,710,6,1,"Soybeans, cv 52-C2, Armor brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",140.1,,3,14,5,9,0,6,C
16108,711,6,1,"Soybeans, cv 52-C2, Armor brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",158.65,,3,14,5,9,0,6,C
16108,712,6,1,"Soybeans, cv 52-C2, Armor brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",23.07,,3,14,5,9,0,6,C
16108,713,6,1,"Soybeans, cv 52-C2, Armor brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",321.82,,3,14,5,9,0,6,C
16108,710,6,2,"Soybeans, cv 5601T, UniSouth brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",191.43,,3,14,5,9,0,6,C
16108,711,6,2,"Soybeans, cv 5601T, UniSouth brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",153.78,,3,14,5,9,0,6,C
16108,712,6,2,"Soybeans, cv 5601T, UniSouth brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",25.84,,3,14,5,9,0,6,C
16108,713,6,2,"Soybeans, cv 5601T, UniSouth brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",371.05,,3,14,5,9,0,6,C
16108,710,6,3,"Soybeans, cv DP 4748 S, Deltapine brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",82.1,,3,14,5,9,0,6,C
16108,711,6,3,"Soybeans, cv DP 4748 S, Deltapine brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",105.85,,3,14,5,9,0,6,C
16108,712,6,3,"Soybeans, cv DP 4748 S, Deltapine brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",19.27,,3,14,5,9,0,6,C
16108,713,6,3,"Soybeans, cv DP 4748 S, Deltapine brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",207.23,,3,14,5,9,0,6,C
16108,710,6,4,"Soybeans, cv HBK 4944 CX, Hombeck brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",134.78,,3,14,5,9,0,6,C
16108,711,6,4,"Soybeans, cv HBK 4944 CX, Hombeck brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",146.84,,3,14,5,9,0,6,C
16108,712,6,4,"Soybeans, cv HBK 4944 CX, Hombeck brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",23.8,,3,14,5,9,0,6,C
16108,713,6,4,"Soybeans, cv HBK 4944 CX, Hombeck brand, conventional type, mean of 3 locations, Iowa & 2 loations in TN",305.43,,3,14,5,9,0,6,C
