NDB_No	Nutr_No	Flav_Val (mg Per 100g)	SD	N	Min	Max	CC
1102	734	2.18		2	2.15	2.21	B
1102	735	0		2	0	0	B
1102	736	0		2	0	0	B
1102	737	0		2	0	0	B
1102	738	0		2	0	0	B
2003	734	0		1			B
2003	735	0		1			B
2003	736	0		1			B
2003	737	0		1			B
2003	738	0		1			B
2009	734	0		1			B
2009	735	0		1			B
2009	736	0		1			B
2009	737	0		1			B
2009	738	0		1			B
2010	734	256.29		1			B
2010	735	1252.2		1			B
2010	736	2608.63		1			B
2010	737	1458.32		1			B
2010	738	2508.78		1			B
2011	734	0		1			B
2011	735	0		1			B
2011	736	0		1			B
2011	737	0		1			B
2011	738	0		1			B
2015	734	9.5		1			B
2015	735	22.88		1			B
2015	736	41.78		1			B
2015	737	0		1			B
2015	738	0		1			B
2020	734	0		1			B
2020	735	0		1			B
2020	736	0		1			B
2020	737	0		1			B
2020	738	0		1			B
2021	734	0		1			B
2021	735	0		1			B
2021	736	0		1			B
2021	737	0		1			B
2021	738	0		1			B
2024	734	0		1			B
2024	735	0		1			B
2024	736	0		1			B
2024	737	0		1			B
2024	738	0		1			B
2026	734	0		1			B
2026	735	0		1			B
2026	736	0		1			B
2026	737	0		1			B
2026	738	0		1			B
2027	734	0		1			B
2027	735	0		1			B
2027	736	0		1			B
2027	737	0		1			B
2027	738	0		1			B
2028	734	0		1			B
2028	735	0		1			B
2028	736	0		1			B
2028	737	0		1			B
2028	738	0		1			B
2029	734	0		1			B
2029	735	0		1			B
2029	736	0		1			B
2029	737	0		1			B
2029	738	0		1			B
2030	734	0		1			B
2030	735	0		1			B
2030	736	0		1			B
2030	737	0		1			B
2030	738	0		1			B
2033	734	0		1			B
2033	735	0		1			B
2033	736	0		1			B
2033	737	0		1			B
2033	738	0		1			B
2043	734	0		1			B
2043	735	0		1			B
2043	736	0		1			B
2043	737	0		1			B
2043	738	0		1			B
3091	734	0		2			B
3091	735	0		2			B
3091	736	0		2			B
3091	737	0		2			B
3091	738	0		2			B
3104	734	0		2			B
3104	735	0		2			B
3104	736	0		2			B
3104	737	0		2			B
3104	738	0		2			B
3116	734	6.4		2			B
3116	735	3.6		2			B
3116	736	9.8		2			B
3116	737	6.1		2			B
3116	738	0		2			B
3121	734	0		2			B
3121	735	0		2			B
3121	736	0		2			B
3121	737	0		2			B
3121	738	0		2			B
3130	734	3.8	0.33	4	3.4	4.2	B
